bar_name	bar_id	country	item_name	price	category
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Americano	1.6	Coffees & Teas
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Aperol Spritz	8	Apéritifs
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Asahi	4.5	Bottled Beer & Ciders
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Avocado Sauce	1.5	Burger Extras
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Bajtra Spritz	8	Apéritifs
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Barbera D'Alba Superiore   Italy	26.5	Red Wines
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Beef Carpaccio	11.5	Starters to Share Crudités & Carpaccio
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Beef Rib Eye	28.5	Mains
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Beef Teriyaki	13.5	Salads
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Beef Teriyaki Wrap	10	Wraps Served Until 6PM)
Zion Reggae Bar	4d514423-222a-4b51-83ed-5202d3bf005b	Malta	Beer Tower 3L)	25	Tap Beer & Beer Tower
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Aljotta	8.5	Soup
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Bacon Jam Burger	14.5	Burgers
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Baked Feta	10.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	BBQ Ribs	24.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Beef Brisket Salad	16.5	Salads
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Beef Tagliata (300g)	26.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Black Mussels	14.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Blue Label Smooth & Creamy (5% vol)	6.2	Beers
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Bragioli	21.5	Mains
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Brisket Ciabatta	11.5	Light Bites
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Bruschetta Feta	5.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Calamari Fritti	14.5	Starters
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Calzone Victoria	15.5	Pizza
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Capricciosa	12.5	Pizza
Victoria Gastro Pub	46105fa8-efc7-422a-afa8-a5188eb2f5ed	Malta	Carne	15.5	Pizza
